Problem,CRMprod_it,CRMprod_elapsed,CRMprodApprox_it,CRMprodApprox_elapsed,MAPprod_it,MAPprod_elapsed,MAPprodApprox_it,MAPprodApprox_elapsed
Prob=1_Rest=1_n=10_nsets=5,3,0.13750146686486486,6,9.583378900000001e-5,62,1.1656158692,65,0.0003729368197
Prob=2_Rest=1_n=10_nsets=5,3,0.08722137122413794,6,9.41132306e-5,64,1.4247353715000002,66,0.00037430802100000003
Prob=3_Rest=1_n=10_nsets=5,3,0.11886824802325582,6,9.624262630000001e-5,60,1.2201984204000003,59,0.0003435270107
Prob=4_Rest=1_n=10_nsets=5,3,0.12151647604651164,6,9.594181900000002e-5,58,1.1458855752000001,57,0.00033867823950000004
Prob=5_Rest=1_n=10_nsets=5,4,0.1737092104827586,6,9.667876160000001e-5,56,1.0315542524,56,0.00033178260700000004
Prob=6_Rest=1_n=10_nsets=5,3,0.13704940352631578,6,9.36799542e-5,60,1.30695756825,62,0.0003525766053
Prob=7_Rest=1_n=10_nsets=5,4,0.17951553550000002,6,9.86085695e-5,54,1.1293191612000002,55,0.00032268191210000003
Prob=8_Rest=1_n=10_nsets=5,4,0.2547341765,6,9.4943506e-5,60,1.4224440875000002,66,0.0003947913757
Prob=9_Rest=1_n=10_nsets=5,3,0.1397081064722222,6,9.67953957e-5,61,1.1499955216666669,64,0.00037596342420000004
Prob=10_Rest=1_n=10_nsets=5,3,0.27657258242105265,6,9.35991185e-5,62,1.0543100172000002,64,0.0003653486253
Prob=1_Rest=1_n=10_nsets=10,4,0.26475469384210526,6,0.0001692328417,120,1.31086158,113,0.0011232511391011237
Prob=2_Rest=1_n=10_nsets=10,3,0.26425908615789473,6,0.0001689389979,126,2.2781927793333336,130,0.0012283820525798527
Prob=3_Rest=1_n=10_nsets=10,4,0.25741761755000003,6,0.00017554890500000002,122,1.3261508705,125,0.001181446582131884
Prob=4_Rest=1_n=10_nsets=10,4,0.3937780211538462,6,0.0001725972771,120,2.7606437585,128,0.0012732639630667346
Prob=5_Rest=1_n=10_nsets=10,5,0.19518277215384616,6,0.00017537717630000001,111,2.88623648,118,0.00116609803825519
Prob=6_Rest=1_n=10_nsets=10,4,0.33472221733333335,6,0.00017451152110000003,123,2.212519695,125,0.00119537556264945
Prob=7_Rest=1_n=10_nsets=10,4,0.503556466,6,0.0001733267339,123,2.4573350173333335,124,0.0011955763128438173
Prob=8_Rest=1_n=10_nsets=10,4,0.2912627540555556,6,0.00017161770920000002,121,1.2601186877500001,125,0.001201076656415185
Prob=9_Rest=1_n=10_nsets=10,3,0.2785785941052632,7,0.00019662416540000002,131,2.606935687,137,0.0013132767861833467
Prob=10_Rest=1_n=10_nsets=10,4,0.30286631547058823,6,0.0001781149343,119,2.5395682125000003,122,0.0011798849879631815
Prob=1_Rest=1_n=10_nsets=20,4,0.5380343092000001,7,0.0003601948362,245,5.163242847,248,0.004159688197171382
Prob=2_Rest=1_n=10_nsets=20,5,0.7701127571428572,7,0.00036317216890000004,231,5.471941759,241,0.004064415399675061
Prob=3_Rest=1_n=10_nsets=20,4,0.5725844187777779,6,0.0003268092792,239,6.186733278,238,0.003989746202713488
Prob=4_Rest=1_n=10_nsets=20,5,0.5264056076000001,7,0.00036210292450000004,232,1.9650434566666668,232,0.003919502786050157
Prob=5_Rest=1_n=10_nsets=20,3,0.687994315875,7,0.0003591550157,268,5.198349047500001,277,0.0045187589584462515
Prob=6_Rest=1_n=10_nsets=20,5,0.28460964422222224,7,0.0003732917423,225,6.972094517,227,0.0038730151239349344
Prob=7_Rest=1_n=10_nsets=20,4,0.5887561045555556,7,0.00036292797,242,6.4088540685,252,0.004175910489148582
Prob=8_Rest=1_n=10_nsets=20,4,0.5245960834,6,0.00032399966830000003,242,3.135054475,245,0.004133806736363637
Prob=9_Rest=1_n=10_nsets=20,4,0.651579324375,6,0.0003308707152,251,5.636427074,251,0.004165438443796836
Prob=10_Rest=1_n=10_nsets=20,4,0.4694826057272728,7,0.00037108794530000004,245,6.85175712,237,0.003969933153174603
Prob=1_Rest=1_n=10_nsets=50,5,1.5424816205,7,0.000873515250131096,619,15.949598280000002,627,0.02359213370892019
Prob=2_Rest=1_n=10_nsets=50,4,1.3128954397500001,8,0.0009536343199771037,671,13.863133334,689,0.025703867000000002
Prob=3_Rest=1_n=10_nsets=50,5,1.4317979927500002,7,0.0008879009102700782,573,14.942892353000001,561,0.021584061823275862
Prob=4_Rest=1_n=10_nsets=50,5,1.7210901806666667,7,0.0008635534739934336,586,6.106754045500001,594,0.022333949517857145
Prob=5_Rest=1_n=10_nsets=50,5,1.8948131076666668,7,0.0008744658923884516,562,19.335191604000002,546,0.0210313998907563
Prob=6_Rest=1_n=10_nsets=50,4,1.3958933470000001,7,0.0008735585810173048,628,15.374572867000001,639,0.024096704677884617
Prob=7_Rest=1_n=10_nsets=50,5,1.31313871275,7,0.0008714052528334787,631,15.913288876000001,629,0.02381783182464455
Prob=8_Rest=1_n=10_nsets=50,6,1.4811199165000002,7,0.0008787421051521013,536,18.612639894,586,0.022237632946666665
Prob=9_Rest=1_n=10_nsets=50,5,1.3227633542500001,7,0.0008856790521091812,610,15.547546031000001,620,0.023626549603773587
Prob=10_Rest=1_n=10_nsets=50,5,1.62512548425,7,0.0009038177777174897,551,14.872754868000001,570,0.021809244478260874
Prob=1_Rest=1_n=50_nsets=5,3,0.629084662,6,0.0001807508292,60,2.379527457333334,61,0.000655299806845004
Prob=2_Rest=1_n=50_nsets=5,4,0.571535568,6,0.00018041839970000002,58,2.271555263,62,0.0006600165688812575
Prob=3_Rest=1_n=50_nsets=5,4,0.5367890583,6,0.0001775518982,58,2.2835876193333338,55,0.0006141177608749079
Prob=4_Rest=1_n=50_nsets=5,4,0.5162270028,6,0.0001797872201,58,2.4514857303333337,63,0.0006763404031668697
Prob=5_Rest=1_n=50_nsets=5,4,0.529820477,6,0.00018401629120000002,58,2.261094033,63,0.000682287426269798
Prob=6_Rest=1_n=50_nsets=5,3,0.5845506558888889,6,0.0001825354153,62,2.568888823333334,64,0.0007003431786965663
Prob=7_Rest=1_n=50_nsets=5,3,0.48644585072727275,6,0.0001784803153,61,3.232755533,62,0.0006613734808099524
Prob=8_Rest=1_n=50_nsets=5,3,0.5469896761,6,0.00018162996940000002,62,2.2885717433333337,64,0.0006944317538910506
Prob=9_Rest=1_n=50_nsets=5,4,0.5130876283000001,6,0.0001874734032,59,2.6831430645000003,54,0.0006111602688356164
Prob=10_Rest=1_n=50_nsets=5,3,0.5070534792,6,0.0001804419337,63,2.2882398146666665,67,0.0007079267974217312
Prob=1_Rest=1_n=50_nsets=10,4,1.1015013834000003,6,0.000342740235,123,5.196415573,123,0.0022490701483812952
Prob=2_Rest=1_n=50_nsets=10,4,0.9869142413333334,6,0.0003365868933,126,5.681664637000001,130,0.002379736495242626
Prob=3_Rest=1_n=50_nsets=10,4,1.1443931158,6,0.0003388327475,126,6.440913838,125,0.002330034045645086
Prob=4_Rest=1_n=50_nsets=10,4,1.0371717384,6,0.00034504500540000004,124,5.710083669,129,0.002389869936902486
Prob=5_Rest=1_n=50_nsets=10,4,1.1169632464,6,0.0003427853759,119,5.257567291,127,0.0023219079507663725
Prob=6_Rest=1_n=50_nsets=10,4,1.049274191,6,0.00034976562270000005,124,6.435215361,131,0.002455149482318271
Prob=7_Rest=1_n=50_nsets=10,4,1.0057890402,6,0.00035077319850000004,119,6.890603624000001,123,0.002291195547662695
Prob=8_Rest=1_n=50_nsets=10,4,1.0317424274,6,0.0003488431342,128,5.046158521000001,132,0.002471956369253584
Prob=9_Rest=1_n=50_nsets=10,4,1.2218261916,6,0.000347592947,123,5.233526726,131,0.0024849327713717694
Prob=10_Rest=1_n=50_nsets=10,4,0.9799587666666667,7,0.00039830864150000003,125,5.466498205000001,125,0.0023294029417520973
Prob=1_Rest=1_n=50_nsets=20,5,2.096905889333333,6,0.0006751509703143975,245,12.790527847000002,231,0.00817561083496732
Prob=2_Rest=1_n=50_nsets=20,5,2.0551700843333336,7,0.0007640867469418961,246,12.42624239,239,0.008376689877721943
Prob=3_Rest=1_n=50_nsets=20,5,2.0442656476666667,7,0.0007610785577215961,233,12.280734881,209,0.007488332480538923
Prob=4_Rest=1_n=50_nsets=20,4,2.2256148886666667,6,0.000685240116033466,257,11.413443967000001,261,0.008938827918003565
Prob=5_Rest=1_n=50_nsets=20,5,2.1799733166666666,7,0.0007717095016985795,242,10.737613715,251,0.008773969098245614
Prob=6_Rest=1_n=50_nsets=20,4,2.1210003493333334,6,0.000679234040880076,253,10.592414679,254,0.008720897923478261
Prob=7_Rest=1_n=50_nsets=20,4,2.0549267,7,0.0007724474650587508,250,12.640565447,248,0.008610461165232359
Prob=8_Rest=1_n=50_nsets=20,5,2.0975440130000003,7,0.0007803077176323598,245,13.050718867,241,0.008404982573109244
Prob=9_Rest=1_n=50_nsets=20,5,2.129010433666667,7,0.0007811228627267043,249,11.825505936,238,0.008303848164451828
Prob=10_Rest=1_n=50_nsets=20,4,2.0805834073333336,7,0.0007904251681962025,249,12.773746878,239,0.008486768778341794
Prob=1_Rest=1_n=50_nsets=50,5,5.152528778000001,7,0.0019677183929133857,612,33.556775366000004,615,0.05096941465656566
